,model_name,layer_type,min_range,max_range,numbers_in_range,accuracy_top1_mean,accuracy_top1_std,accuracy_top5_mean,accuracy_top5_std
0,vit_b_16,Baseline,,,,0.8082926829268293,0.008692022425973223,0.9546341463414634,0.004595155324104076
1,vit_b_16,QuantizedLinear,-8.0,7.0,16.0,0.026829268292682926,0.003567928178217119,0.08,0.005990403507147873
2,vit_b_16,QuantizedLinear,-16.0,15.0,32.0,0.7541463414634146,0.009507871898865036,0.9239024390243903,0.005854847603719974
3,vit_b_16,QuantizedLinear,-32.0,31.0,64.0,0.8053658536585366,0.008742251439073633,0.9497560975609756,0.004823529032666052
4,vit_b_16,QuantizedLinear,-64.0,63.0,128.0,0.8063414634146342,0.008725593747544457,0.9521951219512195,0.004711034159195684
5,vit_b_16,QuantizedLinear,-128.0,127.0,256.0,0.806829268292683,0.008717233001577491,0.9536585365853658,0.004641928987093728
6,vit_b_16,QuantizedHadamardLinear,-8.0,7.0,16.0,0.6180487804878049,0.01072833922461676,0.8082926829268293,0.008692022425973223
7,vit_b_16,QuantizedHadamardLinear,-16.0,15.0,32.0,0.8053658536585366,0.008742251439073633,0.9463414634146341,0.004975772508956648
8,vit_b_16,QuantizedHadamardLinear,-32.0,31.0,64.0,0.8063414634146342,0.008725593747544457,0.9521951219512195,0.004711034159195684
9,vit_b_16,QuantizedHadamardLinear,-64.0,63.0,128.0,0.8073170731707318,0.008708850907193921,0.9526829268292683,0.004688137033315419
10,vit_b_16,QuantizedHadamardLinear,-128.0,127.0,256.0,0.8053658536585366,0.008742251439073633,0.9551219512195122,0.004571550969130323
11,vit_b_16,QuantizedPermutationLinear,-8.0,7.0,16.0,0.7946341463414635,0.008920000913085037,0.9463414634146341,0.004975772508956648
12,vit_b_16,QuantizedPermutationLinear,-16.0,15.0,32.0,0.8078048780487805,0.008700447402691942,0.9536585365853658,0.004641928987093728
13,vit_b_16,QuantizedPermutationLinear,-32.0,31.0,64.0,0.8097560975609757,0.008666618035512705,0.953170731707317,0.004665102657017776
14,vit_b_16,QuantizedPermutationLinear,-64.0,63.0,128.0,0.806829268292683,0.008717233001577491,0.9541463414634146,0.0046186139268468394
15,vit_b_16,QuantizedPermutationLinear,-128.0,127.0,256.0,0.8073170731707318,0.008708850907193921,0.9541463414634146,0.0046186139268468394
16,vit_b_16,QuantizedPermutationNoiseLinear,-8.0,7.0,16.0,0.7975609756097561,0.008872504649688117,0.9453658536585365,0.005018214332099402
17,vit_b_16,QuantizedPermutationNoiseLinear,-16.0,15.0,32.0,0.8009756097560976,0.008816170217543598,0.9512195121951219,0.0047564245764067795
18,vit_b_16,QuantizedPermutationNoiseLinear,-32.0,31.0,64.0,0.8053658536585366,0.008742251439073633,0.9541463414634146,0.0046186139268468394
19,vit_b_16,QuantizedPermutationNoiseLinear,-64.0,63.0,128.0,0.806829268292683,0.008717233001577491,0.953170731707317,0.004665102657017776
20,vit_b_16,QuantizedPermutationNoiseLinear,-128.0,127.0,256.0,0.8073170731707318,0.008708850907193921,0.9546341463414634,0.004595155324104076
21,vit_b_32,Baseline,,,,0.7639024390243903,0.009377387625151485,0.9209756097560976,0.005956920594528537
22,vit_b_32,QuantizedLinear,-8.0,7.0,16.0,0.014634146341463415,0.002651548778097979,0.05024390243902439,0.004823529032666052
23,vit_b_32,QuantizedLinear,-16.0,15.0,32.0,0.7185365853658536,0.009930076374324548,0.9,0.00662427608438279
24,vit_b_32,QuantizedLinear,-32.0,31.0,64.0,0.7107317073170731,0.01001199055709084,0.8741463414634146,0.007323895928380095
25,vit_b_32,QuantizedLinear,-64.0,63.0,128.0,0.76,0.00943038854880195,0.9185365853658537,0.006040135819405526
26,vit_b_32,QuantizedLinear,-128.0,127.0,256.0,0.7639024390243903,0.009377387625151485,0.9214634146341464,0.005940079065976848
27,vit_b_32,QuantizedHadamardLinear,-8.0,7.0,16.0,0.3360975609756098,0.010430424464092952,0.5258536585365854,0.011025691117670083
28,vit_b_32,QuantizedHadamardLinear,-16.0,15.0,32.0,0.74,0.009685447774163856,0.9097560975609756,0.006326865339000434
29,vit_b_32,QuantizedHadamardLinear,-32.0,31.0,64.0,0.7639024390243903,0.009377387625151485,0.9190243902439025,0.006023623265172251
30,vit_b_32,QuantizedHadamardLinear,-64.0,63.0,128.0,0.7614634146341464,0.009410640647185995,0.9209756097560976,0.005956920594528537
31,vit_b_32,QuantizedHadamardLinear,-128.0,127.0,256.0,0.764390243902439,0.009370685717637044,0.9219512195121952,0.0059231700645794765
32,vit_b_32,QuantizedPermutationLinear,-8.0,7.0,16.0,0.7365853658536585,0.009726322427258466,0.9117073170731708,0.0062648005182217486
33,vit_b_32,QuantizedPermutationLinear,-16.0,15.0,32.0,0.7624390243902439,0.009397390595969266,0.9204878048780488,0.005973695220909411
34,vit_b_32,QuantizedPermutationLinear,-32.0,31.0,64.0,0.7663414634146342,0.009343705851406942,0.9190243902439025,0.006023623265172251
35,vit_b_32,QuantizedPermutationLinear,-64.0,63.0,128.0,0.7639024390243903,0.009377387625151485,0.9209756097560976,0.005956920594528537
36,vit_b_32,QuantizedPermutationLinear,-128.0,127.0,256.0,0.7624390243902439,0.009397390595969266,0.9190243902439025,0.006023623265172251
37,vit_b_32,QuantizedPermutationNoiseLinear,-8.0,7.0,16.0,0.7370731707317073,0.009720529520482102,0.9014634146341464,0.006580970998524349
38,vit_b_32,QuantizedPermutationNoiseLinear,-16.0,15.0,32.0,0.7619512195121951,0.009404024123755345,0.9195121951219513,0.006007046006808923
39,vit_b_32,QuantizedPermutationNoiseLinear,-32.0,31.0,64.0,0.7658536585365854,0.009350476727840678,0.9185365853658537,0.006040135819405526
40,vit_b_32,QuantizedPermutationNoiseLinear,-64.0,63.0,128.0,0.7634146341463415,0.009384072382995426,0.92,0.005990403507147873
41,vit_b_32,QuantizedPermutationNoiseLinear,-128.0,127.0,256.0,0.7639024390243903,0.009377387625151485,0.9209756097560976,0.005956920594528537
42,vit_l_16,Baseline,,,,0.7907317073170732,0.008982215332376624,0.9380487804878048,0.0053229797175272705
43,vit_l_16,QuantizedLinear,-8.0,7.0,16.0,0.7517073170731707,0.009539454025097094,0.9048780487804878,0.006478173443432269
44,vit_l_16,QuantizedLinear,-16.0,15.0,32.0,0.7858536585365854,0.009058229902254154,0.9360975609756098,0.0054005307588596094
45,vit_l_16,QuantizedLinear,-32.0,31.0,64.0,0.786829268292683,0.009043180741222763,0.9385365853658536,0.005303360079280012
46,vit_l_16,QuantizedLinear,-64.0,63.0,128.0,0.7902439024390244,0.00898990378761982,0.9390243902439024,0.005283645630729883
47,vit_l_16,QuantizedLinear,-128.0,127.0,256.0,0.791219512195122,0.00897450736291626,0.9395121951219512,0.0052638353066083825
48,vit_l_16,QuantizedHadamardLinear,-8.0,7.0,16.0,0.7892682926829269,0.009005222355257407,0.9390243902439024,0.005283645630729883
49,vit_l_16,QuantizedHadamardLinear,-16.0,15.0,32.0,0.7897560975609756,0.008997572778670731,0.937560975609756,0.0053425055900062825
50,vit_l_16,QuantizedHadamardLinear,-32.0,31.0,64.0,0.7936585365853659,0.008935673030407869,0.9380487804878048,0.0053229797175272705
51,vit_l_16,QuantizedHadamardLinear,-64.0,63.0,128.0,0.7926829268292683,0.008951265864480995,0.94,0.005243928020329687
52,vit_l_16,QuantizedHadamardLinear,-128.0,127.0,256.0,0.7907317073170732,0.008982215332376624,0.9385365853658536,0.005303360079280012
53,vit_l_16,QuantizedPermutationLinear,-8.0,7.0,16.0,0.791219512195122,0.00897450736291626,0.9380487804878048,0.0053229797175272705
54,vit_l_16,QuantizedPermutationLinear,-16.0,15.0,32.0,0.7941463414634147,0.008927846908198542,0.9380487804878048,0.0053229797175272705
55,vit_l_16,QuantizedPermutationLinear,-32.0,31.0,64.0,0.7902439024390244,0.00898990378761982,0.937560975609756,0.0053425055900062825
56,vit_l_16,QuantizedPermutationLinear,-64.0,63.0,128.0,0.7921951219512195,0.008959032679746102,0.9385365853658536,0.005303360079280012
57,vit_l_16,QuantizedPermutationLinear,-128.0,127.0,256.0,0.7907317073170732,0.008982215332376624,0.9380487804878048,0.0053229797175272705
58,vit_l_16,QuantizedPermutationNoiseLinear,-8.0,7.0,16.0,0.7897560975609756,0.008997572778670731,0.9419512195121951,0.005163306741320445
59,vit_l_16,QuantizedPermutationNoiseLinear,-16.0,15.0,32.0,0.7917073170731708,0.00896677982891464,0.9390243902439024,0.005283645630729883
60,vit_l_16,QuantizedPermutationNoiseLinear,-32.0,31.0,64.0,0.7897560975609756,0.008997572778670731,0.9370731707317074,0.005361938721080832
61,vit_l_16,QuantizedPermutationNoiseLinear,-64.0,63.0,128.0,0.791219512195122,0.00897450736291626,0.9385365853658536,0.005303360079280012
62,vit_l_16,QuantizedPermutationNoiseLinear,-128.0,127.0,256.0,0.7921951219512195,0.008959032679746102,0.9380487804878048,0.0053229797175272705
